"","sample","percentage","reads","children_reads","rank","taxid","name","date"
"1","eICh24_01",6.61,503,1,"O",91347,"Enterobacterales",Feb 2023
"2","eICh24_01",2.52,192,1,"O",72274,"Pseudomonadales",Feb 2023
"3","eICh24_01",1.55,118,1,"O",135622,"Alteromonadales",Feb 2023
"4","eICh24_01",1.05,80,1,"O",135614,"Xanthomonadales",Feb 2023
"5","eICh24_01",1.05,80,1,"O",135625,"Pasteurellales",Feb 2023
"6","eICh24_01",0.78,59,1,"O",135623,"Vibrionales",Feb 2023
"7","eICh24_01",0.76,58,1,"O",135619,"Oceanospirillales",Feb 2023
"8","eICh24_01",0.74,56,1,"O",135613,"Chromatiales",Feb 2023
"9","eICh24_01",0.67,51,1,"O",72273,"Thiotrichales",Feb 2023
"10","eICh24_01",0.42,32,1,"O",118969,"Legionellales",Feb 2023
"11","eICh24_01",0.32,24,1,"O",135624,"Aeromonadales",Feb 2023
"12","eICh24_01",0.3,23,1,"O",1706369,"Cellvibrionales",Feb 2023
"13","eICh24_01",0.17,13,1,"O",135618,"Methylococcales",Feb 2023
"14","eICh24_01",0.07,5,1,"O",135615,"Cardiobacteriales",Feb 2023
"15","eICh24_01",0.07,5,0,"O",1240482,"Orbales",Feb 2023
"16","eICh24_01",0.05,4,1,"O",1775403,"Nevskiales",Feb 2023
"17","eICh24_01",3.21,244,1,"O",356,"Rhizobiales",Feb 2023
"18","eICh24_01",1.3,99,1,"O",766,"Rickettsiales",Feb 2023
"19","eICh24_01",1.14,87,1,"O",204455,"Rhodobacterales",Feb 2023
"20","eICh24_01",0.99,75,1,"O",204441,"Rhodospirillales",Feb 2023
"21","eICh24_01",0.97,74,1,"O",204457,"Sphingomonadales",Feb 2023
"22","eICh24_01",0.3,23,1,"O",204458,"Caulobacterales",Feb 2023
"23","eICh24_01",0.09,7,1,"O",54526,"Pelagibacterales",Feb 2023
"24","eICh24_01",0.07,5,1,"O",255473,"Parvularculales",Feb 2023
"25","eICh24_01",0.07,5,1,"O",1191478,"Magnetococcales",Feb 2023
"26","eICh24_01",4.18,318,1,"O",80840,"Burkholderiales",Feb 2023
"27","eICh24_01",0.58,44,1,"O",206351,"Neisseriales",Feb 2023
"28","eICh24_01",0.32,24,1,"O",206389,"Rhodocyclales",Feb 2023
"29","eICh24_01",0.21,16,1,"O",32003,"Nitrosomonadales",Feb 2023
"30","eICh24_01",0.07,5,1,"O",119069,"Hydrogenophilales",Feb 2023
"31","eICh24_01",0.58,44,1,"O",29,"Myxococcales",Feb 2023
"32","eICh24_01",0.49,37,1,"O",213115,"Desulfovibrionales",Feb 2023
"33","eICh24_01",0.41,31,1,"O",69541,"Desulfuromonadales",Feb 2023
"34","eICh24_01",0.34,26,1,"O",213118,"Desulfobacterales",Feb 2023
"35","eICh24_01",0.17,13,1,"O",213462,"Syntrophobacterales",Feb 2023
